2016-10-21T16:34:58,25.14,41.12,No temperature data
2016-10-21T16:34:58,25.14,41.105,No temperature data
2016-10-21T16:34:59,25.13,41.1,No temperature data
2016-10-21T16:35:00,25.12,41.0975,No temperature data
2016-10-21T16:35:00,25.13,41.102,No temperature data
2016-10-21T16:35:01,25.11,41.11,No temperature data
2016-10-21T16:35:01,25.12,41.1157142857,No temperature data
2016-10-21T16:35:02,25.12,41.12,No temperature data
2016-10-21T16:35:03,25.11,41.1233333333,No temperature data
2016-10-21T16:35:03,25.12,41.126,No temperature data
2016-10-21T16:35:04,25.1,41.1281818182,No temperature data
